,trial_index,arm_name,trial_status,generation_method,Objective,B,Sc,Cr,Y,Zr,Gd,Hf,Ta,W,Re,Function,Num_Experiments,Monte_Carlo_Run,Number of data used,Target_CumBest
5,5,4_0,COMPLETED,Manual,141.23533652070077,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,targetFunction,2,1,2,141.23533652070077
6,6,6_0,COMPLETED,Manual,119.10061804970184,0.6666666666666666,0.1583333333333333,0.1666666666666666,0.0083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,targetFunction,3,1,2,141.23533652070077
7,7,7_0,COMPLETED,Manual,106.22927448999997,0.6774193548387097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.0,targetFunction,4,1,2,141.23533652070077
8,8,8_0,COMPLETED,Manual,143.1990010858288,0.9523809523809524,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,targetFunction,5,1,2,143.1990010858288
9,9,9_0,COMPLETED,Manual,149.34474941658686,0.9523809523809524,0.0,0.0,0.0238095238095238,0.0,0.0119047619047619,0.0119047619047619,0.0,0.0,0.0,targetFunction,6,1,2,149.34474941658686
10,10,10_0,COMPLETED,Manual,150.79684372186182,0.9230769230769232,0.0384615384615384,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,targetFunction,7,1,2,150.79684372186182
11,11,11_0,COMPLETED,Manual,139.34604170468722,0.9230769230769232,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,targetFunction,8,1,2,150.79684372186182
12,12,12_0,COMPLETED,Manual,156.19085691648428,0.9230769230769232,0.0,0.0,0.0384615384615384,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,targetFunction,9,1,2,156.19085691648428
13,13,12_0,COMPLETED,Manual,156.19085691648428,0.9230769230769232,0.0,0.0,0.0384615384615384,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,targetFunction,10,1,2,156.19085691648428
14,14,12_0,COMPLETED,Manual,156.19085691648428,0.9230769230769232,0.0,0.0,0.0384615384615384,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,targetFunction,11,1,2,156.19085691648428
15,15,15_0,COMPLETED,Manual,157.3709982220219,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,targetFunction,12,1,2,157.3709982220219
16,16,16_0,COMPLETED,Manual,158.1333799161532,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,targetFunction,13,1,2,158.1333799161532
17,17,16_0,COMPLETED,Manual,158.1333799161532,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,targetFunction,14,1,2,158.1333799161532
18,18,18_0,COMPLETED,Manual,141.99720450911195,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,targetFunction,15,1,2,158.1333799161532
19,19,16_0,COMPLETED,Manual,158.1333799161532,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,targetFunction,16,1,2,158.1333799161532
20,20,16_0,COMPLETED,Manual,158.1333799161532,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,targetFunction,17,1,2,158.1333799161532
21,21,16_0,COMPLETED,Manual,158.1333799161532,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,targetFunction,18,1,2,158.1333799161532
22,22,16_0,COMPLETED,Manual,158.1333799161532,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,targetFunction,19,1,2,158.1333799161532
23,23,23_0,COMPLETED,Manual,134.14889825638772,0.9206349206349206,0.0,0.0,0.0158730158730158,0.0,0.0,0.0,0.0,0.0634920634920635,0.0,targetFunction,20,1,2,158.1333799161532
4,4,4_0,COMPLETED,Manual,106.22927448999997,0.6774193548387097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.0,targetFunction,1,2,2,106.22927448999997
5,5,5_0,COMPLETED,Manual,151.04621599946466,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,targetFunction,2,2,2,151.04621599946466
6,6,6_0,COMPLETED,Manual,113.43623595623639,0.6666666666666666,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,targetFunction,3,2,2,151.04621599946466
